image_id	face	date	type	decile1	decile2	decile3	decile4	decile5	decile6	decile7	decile8	decile9	decile10
ZM009-02714	D	16/04/2021	lateral	3916	21261	20586	31967	39473	39086	32303	33895	32631	36165
ZM009-02714	D	26/04/2021	lateral	3155	18277	21049	35887	41305	41779	33778	35871	32465	40106
ZM009-02715	A	19/03/2021	lateral	830	143	2	0	4	0	3	2	0	36
ZM009-02715	A	26/03/2021	lateral	2723	1577	619	808	556	607	680	624	537	6129
ZM009-02715	A	02/04/2021	lateral	7600	8482	6974	5582	7031	1995	702	237	258	695
ZM009-02715	A	09/04/2021	lateral	7609	13791	13851	17148	18793	24634	21762	12412	13297	11255
ZM009-02715	A	16/04/2021	lateral	7101	12677	19743	28227	34490	37990	42142	28775	27008	33559
ZM009-02715	A	26/04/2021	lateral	7948	14043	22086	28359	36530	38143	43204	30115	26948	35779
ZM009-02715	B	19/03/2021	lateral	406	4	6	49	18	11	75	0	6	37
ZM009-02715	B	26/03/2021	lateral	1215	1297	1036	1098	990	143	352	126	152	4830
ZM009-02715	B	02/04/2021	lateral	3878	6811	9345	6458	5079	3127	2143	462	830	8522
ZM009-02715	B	09/04/2021	lateral	4823	13876	17128	18200	19786	22869	26614	24681	20847	28426
ZM009-02715	B	16/04/2021	lateral	4054	15718	26398	30780	37156	43632	44478	48392	43727	45080
ZM009-02715	B	26/04/2021	lateral	4132	11939	26128	34398	39304	45188	44447	47614	43114	48313
ZM009-02715	C	19/03/2021	lateral	311	405	425	52	220	39	2	0	107	171
ZM009-02715	C	26/03/2021	lateral	1055	3286	1870	1556	834	386	376	229	372	5271
ZM009-02715	C	02/04/2021	lateral	3335	13613	16145	18140	19659	14500	12982	9129	2236	4496
ZM009-02715	C	09/04/2021	lateral	4062	18926	22830	27984	34301	25304	25803	23272	24587	31548
ZM009-02715	C	16/04/2021	lateral	2847	18056	28108	38792	44955	43646	40454	42080	42928	49760
ZM009-02715	C	26/04/2021	lateral	3009	13917	27577	41465	45664	44820	41890	41938	43413	54114
ZM009-02715	D	19/03/2021	lateral	4	764	97	258	4	13	0	0	3	111
ZM009-02715	D	26/03/2021	lateral	2072	4186	3749	1717	725	452	348	135	319	4689
ZM009-02715	D	02/04/2021	lateral	5901	14324	17785	17226	18667	11975	8557	8267	7776	4609
ZM009-02715	D	09/04/2021	lateral	5947	16158	21460	28985	33868	24196	16259	17038	21960	17275
ZM009-02715	D	16/04/2021	lateral	4449	16309	22727	33547	43057	33941	26650	26811	29617	34844
ZM009-02715	D	26/04/2021	lateral	4573	14784	22229	32036	39854	31642	26434	25660	28738	34831
ZM009-02716	A	19/03/2021	lateral	1550	320	186	478	674	68	93	2	14	29
ZM009-02716	A	26/03/2021	lateral	9376	1353	1339	967	1259	657	556	496	80	11068
ZM009-02716	A	02/04/2021	lateral	10000	6576	9763	4281	4059	4783	2940	164	23	297
ZM009-02716	A	09/04/2021	lateral	11701	11296	14564	10893	10871	17552	12726	6744	4310	6009
ZM009-02716	A	16/04/2021	lateral	8740	11047	14890	13859	14251	26537	26130	21443	19154	29723
ZM009-02716	A	26/04/2021	lateral	8089	9142	17649	22470	18305	35781	34561	28313	27621	42256
ZM009-02716	B	19/03/2021	lateral	32	787	546	30	13	0	8	10	111	18
ZM009-02716	B	26/03/2021	lateral	673	5697	7050	4090	2080	1969	1656	625	255	12310
ZM009-02716	B	02/04/2021	lateral	1978	7597	13111	10903	11113	8791	5822	5080	3943	1757
ZM009-02716	B	09/04/2021	lateral	5424	13610	24664	26279	23807	20587	12270	11223	14906	12929
ZM009-02716	B	16/04/2021	lateral	2643	11804	21487	27146	26824	25240	19824	20577	28109	33878
ZM009-02716	B	26/04/2021	lateral	3490	11786	23555	31884	29933	33177	27687	27163	35339	40350
ZM009-02716	C	19/03/2021	lateral	26	28	15	11	4	18	0	15	36	62
ZM009-02716	C	26/03/2021	lateral	1751	3224	1703	3643	2361	1966	2035	2028	1119	12223
ZM009-02716	C	02/04/2021	lateral	3881	9577	7985	14262	12961	16398	12149	7387	7203	7576
